city,name,death,total,hurt,code,population
충북,청원군,104.0,171.0,67.0,43710.0,155002.0
충북,청주시,482.0,771.0,289.0,43110.0,672904.0
충북,충주시,255.0,475.0,220.0,43130.0,208115.0
0,전국,0.0,0.0,0.0,0.0,51141463.0
0,서울특별시,0.0,0.0,0.0,11.0,10143645.0
0,부산광역시,0.0,0.0,0.0,26.0,3527635.0
0,대구광역시,0.0,0.0,0.0,27.0,2501588.0
0,인천광역시,0.0,0.0,0.0,28.0,2879782.0
0,광주광역시,0.0,0.0,0.0,29.0,1472910.0
0,대전광역시,0.0,0.0,0.0,30.0,1532811.0
0,울산광역시,0.0,0.0,0.0,31.0,1156480.0
0,세종특별자치시,0.0,0.0,0.0,36.0,122153.0
0,세종시,0.0,0.0,0.0,36110.0,122153.0
0,경기도,0.0,0.0,0.0,41.0,12234630.0
0,수원시장안구,0.0,0.0,0.0,41111.0,300908.0
0,수원시권선구,0.0,0.0,0.0,41113.0,331773.0
0,수원시팔달구,0.0,0.0,0.0,41115.0,204805.0
0,수원시영통구,0.0,0.0,0.0,41117.0,310671.0
0,성남시수정구,0.0,0.0,0.0,41131.0,228167.0
0,성남시중원구,0.0,0.0,0.0,41133.0,256349.0
0,성남시분당구,0.0,0.0,0.0,41135.0,495018.0
0,안양시만안구,0.0,0.0,0.0,41171.0,250246.0
0,안양시동안구,0.0,0.0,0.0,41173.0,357631.0
0,부천시원미구,0.0,0.0,0.0,41195.0,444207.0
0,부천시소사구,0.0,0.0,0.0,41197.0,229959.0
0,부천시오정구,0.0,0.0,0.0,41199.0,189554.0
0,안산시상록구,0.0,0.0,0.0,41271.0,382571.0
0,안산시단원구,0.0,0.0,0.0,41273.0,331095.0
0,고양시덕양구,0.0,0.0,0.0,41281.0,410491.0
0,고양시일산동구,0.0,0.0,0.0,41285.0,283976.0
0,고양시일산서구,0.0,0.0,0.0,41287.0,296104.0
0,용인시처인구,0.0,0.0,0.0,41461.0,212904.0
0,용인시기흥구,0.0,0.0,0.0,41463.0,393172.0
0,용인시수지구,0.0,0.0,0.0,41465.0,335401.0
0,여주군,0.0,0.0,0.0,41660.0,109343.0
0,강원도,0.0,0.0,0.0,42.0,1542263.0
0,충청북도,0.0,0.0,0.0,43.0,1572732.0
0,청주시상당구,0.0,0.0,0.0,43111.0,246128.0
0,청주시흥덕구,0.0,0.0,0.0,43113.0,426776.0
0,충청남도,0.0,0.0,0.0,44.0,2047631.0
0,천안시동남구,0.0,0.0,0.0,44131.0,260575.0
0,천안시서북구,0.0,0.0,0.0,44133.0,330514.0
0,전라북도,0.0,0.0,0.0,45.0,1872965.0
0,전주시완산구,0.0,0.0,0.0,45111.0,363694.0
0,전주시덕진구,0.0,0.0,0.0,45113.0,286388.0
0,전라남도,0.0,0.0,0.0,46.0,1907172.0
0,경상북도,0.0,0.0,0.0,47.0,2699440.0
0,경상남도,0.0,0.0,0.0,48.0,3333820.0
0,창원시,0.0,0.0,0.0,48120.0,1083731.0
0,의창구,0.0,0.0,0.0,48121.0,255816.0
0,성산구,0.0,0.0,0.0,48123.0,242870.0
0,마산합포구,0.0,0.0,0.0,48125.0,183365.0
0,마산회원구,0.0,0.0,0.0,48127.0,219558.0
0,진해구,0.0,0.0,0.0,48129.0,182122.0
0,제주특별자치도,0.0,0.0,0.0,50.0,593806.0
