year,dayAndNight,week,death,casualty,injuredPerson,location,accKind,violationLaw,roadKind,perpetrator,victim,Count
2018,Night,Mon,2,6,4,Gangwon,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2018,Day,Sat,1,2,1,Chungbuk,Car and Car,Violation of drivers laws,singleroad,a car,special car,1
2018,Night,Tue,1,7,6,Gangwon,Car and Car,Violation of drivers laws,singleroad,special car,a car,1
2018,Night,Tue,1,1,0,Gangwon,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Day,Mon,1,1,0,Chungbuk,Car and People,Violation of drivers laws,crossroad,a freight car,Pedestrian,1
2018,Night,Tue,1,1,0,Chungbuk,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Night,Fri,1,1,0,Chungbuk,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Fri,1,1,0,Chungbuk,Car and Car,Violation of drivers laws,crossroad,a van,a two-wheeled car,1
2018,Day,Sun,1,1,0,Chungbuk,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Night,Fri,1,1,0,Chungbuk,Only Car,Violation of drivers laws,Other,자전거,none,1
2018,Day,Fri,1,1,0,Chungbuk,Car and Car,Violation of drivers laws,crossroad,a car,자전거,1
2018,Day,Tue,1,1,0,Chungbuk,Car and Car,Violation of drivers laws,crossroad,원동기장치자전거,a freight car,1
2018,Night,Tue,1,9,8,Chungbuk,Car and Car,Violation of drivers laws,singleroad,a car,a van,1
2018,Night,Mon,1,1,0,Chungbuk,Car and Car,Violation of drivers laws,crossroad,a freight car,a freight car,1
2018,Day,Thu,1,2,1,Chungbuk,Car and Car,Violation of drivers laws,singleroad,a freight car,농기계,1
2018,Night,Fri,1,3,2,Chungbuk,Car and Car,Violation of drivers laws,crossroad,a car,a freight car,1
2018,Night,Wed,1,1,0,Chungbuk,Car and Car,Violation of drivers laws,crossroad,a two-wheeled car,a car,1
2018,Day,Tue,1,1,0,Chungbuk,Car and Car,Violation of drivers laws,singleroad,a freight car,a two-wheeled car,1
2018,Day,Wed,1,1,0,Chungbuk,Only Car,정비불량,singleroad,a freight car,none,1
2018,Day,Mon,1,1,0,Chungbuk,Only Car,Violation of drivers laws,crossroad,원동기장치자전거,none,1
2018,Night,Thu,1,1,0,Chungbuk,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Night,Wed,1,1,0,Chungbuk,Car and Car,Violation of drivers laws,singleroad,a freight car,a van,1
2018,Day,Wed,1,1,0,Chungbuk,Car and Car,Violation of drivers laws,crossroad,a two-wheeled car,a car,1
2018,Day,Mon,1,1,0,Chungbuk,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
